rainfall,year,month,country
0.01356,2001,2,BFA
1.25725,2001,3,BFA
24.2921,2001,4,BFA
50.1879,2001,5,BFA
100.925,2001,6,BFA
174.114,2001,7,BFA
214.689,2001,8,BFA
123.717,2001,9,BFA
26.7945,2001,10,BFA
0.79768,2001,11,BFA
1.4847,2001,12,BFA
0.37551,2002,1,BFA
0.00335,2002,2,BFA
3.30934,2002,3,BFA
23.1643,2002,4,BFA
46.8774,2002,5,BFA
82.8328,2002,6,BFA
161.713,2002,7,BFA
170.009,2002,8,BFA
128.254,2002,9,BFA
59.5751,2002,10,BFA
0.71205,2002,11,BFA
0.00313,2002,12,BFA
0.02316,2003,1,BFA
1.26652,2003,2,BFA
11.628,2003,3,BFA
37.4634,2003,4,BFA
69.3389,2003,5,BFA
143.862,2003,6,BFA
185.84,2003,7,BFA
259.737,2003,8,BFA
157.713,2003,9,BFA
45.0325,2003,10,BFA
5.81736,2003,11,BFA
0.17311,2003,12,BFA
0.68976,2004,1,BFA
5.57256,2004,2,BFA
8.08193,2004,3,BFA
46.5903,2004,4,BFA
54.5437,2004,5,BFA
82.445,2004,6,BFA
192.943,2004,7,BFA
196.701,2004,8,BFA
109.781,2004,9,BFA
21.0221,2004,10,BFA
8.58919,2004,11,BFA
0.0308,2004,12,BFA
0.31985,2005,1,BFA
1.52043,2005,2,BFA
11.6982,2005,3,BFA
26.9104,2005,4,BFA
61.9964,2005,5,BFA
131.272,2005,6,BFA
169.825,2005,7,BFA
191.085,2005,8,BFA
151.205,2005,9,BFA
49.7773,2005,10,BFA
2.2036,2005,11,BFA
0.2183,2005,12,BFA
0.07983,2006,1,BFA
0.66196,2006,2,BFA
5.10174,2006,3,BFA
24.6772,2006,4,BFA
49.8607,2006,5,BFA
116.956,2006,6,BFA
152.729,2006,7,BFA
192.088,2006,8,BFA
171.326,2006,9,BFA
64.3748,2006,10,BFA
0.02659,2006,11,BFA
0,2006,12,BFA
0,2007,1,BFA
0.05952,2007,2,BFA
2.87392,2007,3,BFA
68.5505,2007,4,BFA
50.5767,2007,5,BFA
83.1384,2007,6,BFA
191.967,2007,7,BFA
291.24,2007,8,BFA
128.84,2007,9,BFA
18.3334,2007,10,BFA
16.23,2007,11,BFA
0.05565,2007,12,BFA
0,2008,1,BFA
0.00582,2008,2,BFA
7.7304,2008,3,BFA
13.4736,2008,4,BFA
60.6107,2008,5,BFA
116.146,2008,6,BFA
204.536,2008,7,BFA
249.728,2008,8,BFA
122.543,2008,9,BFA
41.5761,2008,10,BFA
0.10574,2008,11,BFA
0.10201,2008,12,BFA
9.00E-05,2009,1,BFA
1.07871,2009,2,BFA
10.8994,2009,3,BFA
17.0956,2009,4,BFA
56.5236,2009,5,BFA
117.294,2009,6,BFA
164.435,2009,7,BFA
230.693,2009,8,BFA
182.561,2009,9,BFA
70.1753,2009,10,BFA
2.75037,2009,11,BFA
0.02485,2009,12,BFA
0.01279,2010,1,BFA
0.624,2010,2,BFA
0.85057,2010,3,BFA
32.849,2010,4,BFA
49.0618,2010,5,BFA
111.829,2010,6,BFA
167.748,2010,7,BFA
239.875,2010,8,BFA
183.23,2010,9,BFA
